target,cluster
company,2
regulation,0
corporate regulation,2
regulation corporation,2
food label,2
`` natural labeling,2
healthy,2
natural,2
use word,2
natural labor,2
use word natural,2
food product labelling,2
natural,2
big bank,2
business,2
economic bailouts,0
stability economy,2
company management,2
control,2
wealth,2
bank,2
economy,2
royal couple,2
royal,2
royalty,2
royal extravagance,2
royal public relation,2
modern family,2
royal pr,2
royal medium exposure,2
mass medium,2
prostitution,0
sex industry,2
violence,0
violence,0
prostitution,0
rim,2
nba,4
raising rim,2
basketball,1
affirmative action,2
mexican immigrant,0
mexican,4
mexico,4
affirmative action,2
economic,2
grade college,1
education,1
identify failing k 12 school,2
k 12 school,1
marijuana,0
cannabis,0
cannabis use,0
gateway drug,0
medical marijuana,0
medical marijuana,0
pain management,2
electric car,2
electric rate,2
plugin car,2
tfa,4
teacher qualification,1
teach america,4
qualified teacher,1
status teacher,1
teacher pay,1
tfa,4
teach america,4
trained teacher,1
prostitution,0
prostitution,0
prostitution legalization,0
every known human society,2
capital gain,2
economic growth,2
tax elimination,0
tax,0
economic stimulus,2
cat,3
declawing cat,3
nail removal,2
cat,3
company,2
capitalism,0
private corporation profit,2
private corporation making profit regardless consequence,2
foreign language class,2
language,2
language learning,2
mandatory college,1
learning language important,2
learning language,2
learning another language,2
american society,4
latin helpful language,2
opioid training,0
opioid abuse,0
modern medicine,2
school librarian,1
teacher,1
library,1
childhood memory school librarian,1
ritual adult life,2
economic climate,2
economic hardship,2
economy,2
young people,2
parent,1
personal accountability,2
economy,2
gateway drug,0
marijuana,0
mj,4
opiate,0
overdose,0
marijuana,0
mj,4
opiate,0
marijuana effect,0
company,2
government,0
big business,2
kid,1
medical insurance,2
mandated curriculum,1
tax,0
education,1
attitude towards society,2
greater success,2
young people,2
invention,2
enlightenment,2
renaissance,2
altruistic thinking,2
hedonism,2
life short,2
medical website,2
doctor,2
doctor,2
elite,2
bar,2
attorney,2
law school,1
law school,1
attorney,2
law school,1
land,2
flood,2
privatize access shore line,2
private shore line,2
public assistance,2
disaster relief,2
beachfront home,2
public access,2
private shore,2
capital gain,2
capital gain,2
government,0
cat,3
pet cat,2
declaw,3
cat,3
mother teresa,2
religion prosecution,0
catholic america,4
catholic criminality,0
crime,0
catholic hypocrisy,4
palestinian state,4
palestine,4
nation,2
israel,4
palestinian statehood,4
israel,4
illegal labor,0
salary,2
illegal labor,0
legal worker,2
legal employed,2
illegal worker,0
salary raised,2
legal worker,2
farm,2
farm laborer,2
automation,2
farm robot,2
farm automation,2
illegal labor,0
automation farming,2
imported farm labourer,2
same sex college,1
phd degree,1
college,1
veganism,3
vegan,3
nutrition,2
veganism,3
everyone,2
veganism,3
veganism,3
vegan sport,3
athlete,1
mike tyson,4
legitimate threat,2
soil fertility,2
farm,2
overcrowding,0
fertility soil,2
overuse petrochemical fertilizer,2
u.s,4
embargo,0
us cuban relation,2
improving cuban usa relationship,2
diplomatic relation,2
cuban/usa mutual relationship,2
sanction,2
climate change,2
country working together climate change issue,2
trading embargo,2
people,2
ignorance,2
education,1
grade college,1
profit college,1
federal loan,2
people,2
contraception,0
intelligence,2
intelligence,2
high tech versus wisdom,2
high speed rail,2
transportation,2
public transportation,2
us budget,2
investing arm war,2
war,0
infrastructure,2
cost war,2
wealth,2
war,0
control,2
bank,2
bank,2
bail,2
big bank,2
bank,2
mandatory child,1
vaccination,0
vaccination,0
vaccination,0
anti vax,0
obamacare,4
political division,2
republican,4
republican,4
obstructionism,0
extreme parenting,2
perfectionism,2
demand parent,2
anxiety,2
parent,1
educational vacation time,2
teach,1
family,2
vacation,2
family vacation,2
teach,1
people,2
population,2
survival skill poorly educated,2
educational standard,2
dual citizenship,0
citizenship,0
dual citizenship,0
woman,2
home birth,2
home birth,2
doula,1
kid home,1
home birth,2
home birth,2
midwife,0
vaccination,0
vaccination,0
health,2
mandatory child,1
vaccination,0
vaccination choice,0
freedom choice,2
u.s. embassy,4
usa embassy,4
usa embassy 's support israel,4
right israel,4
jerusalem,4
israel,4
usa embassy israel,4
israel 's right nation,2
company,2
government regulation,0
regulation,0
preemptive regulation,2
regulation after the fact,2
marijuana,0
marijuana,0
addict,2
robert l. dupont,4
gateway drug,0
gateway drug,0
addict,2
dupont view marijuana,0
addiction,0
public university,1
california intestate tuition,1
college tuition,1
intestate student,1
tuition policy,1
state tuition,1
state tuition,1
healthier,2
walmart,4
walmart,4
walmart,4
walmart,4
initiative,2
lottery winner selection,2
acceptance lottery,2
faux lottery,2
student academic acceptance,1
cherrypicking student,1
special education,1
choice child,2
marijuana,0
pot,0
marijuana,0
gateway drug,0
gateway drug,0
marijuana,0
people,2
